ETH_Face#8 ['headband', 'pirate_eyepatch', 'none']
ETH_Face#9 ['headset', 'eyes', 'none']
ETH_Face#10 ['headset', 'round_glasses', 'none']
ETH_Face#11 ['headset', 'pixel_sunglasses', 'none']
ETH_Face#12 ['headset', 'pirate_eyepatch', 'none']
ETH_Face#13 ['fedora', 'eyes', 'none']
ETH_Face#14 ['fedora', 'round_glasses', 'none']
ETH_Face#15 ['fedora', 'pixel_sunglasses', 'none']
ETH_Face#16 ['fedora', 'pirate_eyepatch', 'none']
ETH_Face#17 ['crown', 'eyes', 'none']
ETH_Face#18 ['crown', 'round_glasses', 'none']
ETH_Face#19 ['crown', 'pixel_sunglasses', 'none']
ETH_Face#20 ['crown', 'pirate_eyepatch', 'none']
ETH_Face#21 ['none', 'eyes', 'mouth']
ETH_Face#22 ['none', 'round_glasses', 'mouth']
ETH_Face#23 ['none', 'pixel_sunglasses', 'mouth']
ETH_Face#24 ['none', 'pirate_eyepatch', 'mouth']
ETH_Face#25 ['headband', 'eyes', 'mouth']
ETH_Face#26 ['headband', 'round_glasses', 'mouth']
ETH_Face#27 ['headband', 'pixel_sunglasses', 'mouth']
ETH_Face#28 ['headband', 'pirate_eyepatch', 'mouth']
ETH_Face#29 ['headset', 'eyes', 'mouth']
ETH_Face#30 ['headset', 'round_glasses', 'mouth']
ETH_Face#31 ['headset', 'pixel_sunglasses', 'mouth']
ETH_Face#32 ['headset', 'pirate_eyepatch', 'mouth']
ETH_Face#33 ['fedora', 'eyes', 'mouth']
ETH_Face#34 ['fedora', 'round_glasses', 'mouth']
ETH_Face#35 ['fedora', 'pixel_sunglasses', 'mouth']
ETH_Face#36 ['fedora', 'pirate_eyepatch', 'mouth']
ETH_Face#37 ['crown', 'eyes', 'mouth']
ETH_Face#38 ['crown', 'round_glasses', 'mouth']
ETH_Face#39 ['crown', 'pixel_sunglasses', 'mouth']
ETH_Face#40 ['crown', 'pirate_eyepatch', 'mouth']
ETH_Face#41 ['none', 'eyes', 'mustache']
ETH_Face#42 ['none', 'round_glasses', 'mustache']
ETH_Face#43 ['none', 'pixel_sunglasses', 'mustache']
ETH_Face#44 ['none', 'pirate_eyepatch', 'mustache']
ETH_Face#45 ['headband', 'eyes', 'mustache']
ETH_Face#46 ['headband', 'round_glasses', 'mustache']
ETH_Face#47 ['headband', 'pixel_sunglasses', 'mustache']
